girone,partita,squadra,capitano,riserva,match 1,match 2
A,1,D Euforiche,Kuno,Marcello,Kuno,queffe
A,1,Gli ultimi,crazycat,Ghigo,caipiroska,crazycat
B,1,Green House,Bango Skank,Bango Skank,Plata,Joyopi
B,1,Gli scrittori del quartierino,Marty12,Federico72,camparino,Marty12
B,2,I Bananari,simone volponi,massimopud,simone volponi,Niko
B,2,the 3 BrOthers,AryaSophia,ettore70,ITG,AryaSophia
C,1,Living Stones,Macleo,Vincenzo Iennaco,Ljuset,Macleo
C,1,Le TreMende,Emy,sefora,Thea,Emy
C,2,Retroguardia Trash,Andrea28,AlexComan,Andrea28,Eudes
C,2,Armata Brancaleone,AdStr,Skorpiòs,Ella F.,AdStr
