girone,partita,match,squadra,titolare,riserva,ingresso riserva,titolo,lunghezza,penalità,tag,link,link commento,commento valido,sostituzione,punti penalità
A,1,1,D Euforiche,Marcello,queffe,,In attesa,5820,0,x,x,x,x,,
A,1,1,La threesome,Komorebi,mina99,,Assalto alla fortezza,7149,0,x,x,x,x,,
A,1,2,D Euforiche,Kuno,queffe,,Vergogna. Scuse. Catapulta.,7988,0,x,x,x,x,,
A,1,2,La threesome,Luna,mina99,,I macellai di erbafiore,7947,0,x,x,x,x,,
B,1,1,Green House,Bango Skank,Plata,,La Catapulta dei Cavalieri del Leone,7922,0,x,x,x,x,,
B,1,1,I Bananari,massimopud,Niko,,La grande catapulta,6084,0,x,x,x,x,,
B,1,2,Green House,Joyopi,Plata,,Dino Saurini e le care buon vecchie amicizie,7903,0,x,x,x,x,,
B,1,2,I Bananari,simone volponi,Niko,,Un bel tiro,5914,0,x,x,x,x,,
B,2,1,Gli scrittori del quartierino,Marty12,camparino,,La catapulta delle anime,7464,0,x,x,x,x,,
B,2,1,the 3 BrOthers,ITG,ettore70,,Lui beve per... ricordare,5416,0,x,x,x,x,,
B,2,2,Gli scrittori del quartierino,Federico72,camparino,,Kaiten - Catapultati in braccio alla morte,5344,0,x,x,x,x,,
B,2,2,the 3 BrOthers,AryaSophia,ettore70,,"Areth, la prescelta",5061,0,x,x,x,x,,
C,1,1,Living Stones,Macleo,Ljuset,,Manna dal cielo,7944,0,x,x,x,x,,
C,1,1,Retroguardia Trash,Andrea28,Eudes,,Catapulta leggendaria,7999,0,x,x,x,x,,
C,1,2,Living Stones,Vincenzo Iennaco,Ljuset,,Sotto assedio ,7608,0,x,x,x,x,,
C,1,2,Retroguardia Trash,AlexComan,Eudes,,Il sogno di ogni gallina,7216,0,x,x,x,x,,
C,2,1,Armata Brancaleone,Ella F.,AdStr,,Katapulta,6934,0,x,x,x,x,,
C,2,1,Le TreMende,Emy,Thea,,La notte delle teste cadenti,7909,0,x,x,x,x,,
C,2,2,Armata Brancaleone,Skorpiòs,AdStr,,Il maniero,6888,0,x,x,x,x,,
C,2,2,Le TreMende,sefora,Thea,,È quasi Natale,7861,0,x,x,x,x,,
