girone,partita,match,squadra,titolare,riserva,ingresso riserva,titolo,lunghezza,penalità,tag,link,link commento,commento valido,sostituzione,punti penalità,giocatore,str penalità
A,1,1,Gli ultimi,crazycat,Steto,,La ruota panoramica in un sottopassaggio,6953,0,x,x,x,x,,,crazycat ,
A,1,1,La threesome,Luna,Komorebi,,Per una tezza di tè,7981,-1,x,,x,x,,1 punto di penalità,Luna ,-1 goal
A,1,2,Gli ultimi,caipiroska,Steto,,Semino d'ortica,7757,0,x,x,x,x,,,caipiroska ,
A,1,2,La threesome,mina99,Komorebi,,Non è forse vero che l'attesa della tempesta è essa stessa la tempesta?,7985,0,x,x,x,x,,,mina99 ,
B,1,1,Green House,Bango Skank,Joyopi,,Il vecchio guardiano,7953,0,x,x,x,x,,,Bango Skank ,
B,1,1,the 3 BrOthers,Patrick D'anello,AryaSophia,,Ultimi attimi,3546,0,x,x,x,x,,,Patrick D'anello ,
B,1,2,Green House,Plata,Joyopi,,Un ennesimo racconto di Natale,7121,0,x,x,x,x,,,Plata ,
B,1,2,the 3 BrOthers,ettore70,AryaSophia,,Amari confetti,7846,0,x,x,x,x,,,ettore70 ,
B,2,1,Gli scrittori del quartierino,camparino,Marty12,,Avventurieri nella tempesta,4997,0,x,x,x,x,,,camparino ,
B,2,1,I Bananari,massimopud,Niko,,Verdi colline dell'alto Zambesi,7756,0,x,x,x,x,,,massimopud ,
B,2,2,Gli scrittori del quartierino,Federico72,Marty12,,Il relitto,7936,0,x,x,x,x,,,Federico72 ,
B,2,2,I Bananari,simone volponi,Niko,,Ora raccogli tempesta... raccoglila,7966,0,x,x,x,x,,,simone volponi ,
C,1,1,Armata Brancaleone,Ella F.,Skorpiòs,30/12 18:55,Ichibi Lokuphila (lago della vita),6837,0,x,x,x,x,(Skorpiòs da 30/12 18:55),,Ella F. (Skorpiòs da 30/12 18:55),
C,1,1,Living Stones,Ljuset,Vincenzo Iennaco,,Tempesta,7569,0,x,x,x,x,,,Ljuset ,
C,1,2,Armata Brancaleone,AdStr,Skorpiòs,,Le Vele verdi,7869,0,x,x,x,x,,,AdStr ,
C,1,2,Living Stones,Macleo,Vincenzo Iennaco,,Il quinto naufrago,3489,0,x,x,x,x,,,Macleo ,
C,2,1,Le TreMende,sefora,Emy,,Storia dell'arte,7932,0,x,x,x,x,,,sefora ,
C,2,1,Retroguardia Trash,Eudes,Andrea28,,Personaggi di un autore minore,7082,0,x,x,x,x,,,Eudes ,
C,2,2,Le TreMende,Thea,Emy,,Il suono,7653,0,x,x,x,x,,,Thea ,
C,2,2,Retroguardia Trash,AlexComan,Andrea28,,Tempesta a fumetti,7999,0,x,x,x,x,,,AlexComan ,
