girone,squadra,punti,vittorie,pareggi,sconfitte,differenza reti,goal fatti,goal subiti,differenza reti netta,goal netti fatti,goal netti subiti,penalità fatte,penalità subite,differenza reti ultimo incontro,goal fatti ultimo incontro,goal subiti ultimo incontro
A,D Euforiche,6,2,0,0,26,45,19,26,45,19,0,0,16,24,8
A,La threesome,0,0,0,1,-10,11,21,-10,11,21,0,0,0,0,0
A,Gli ultimi,0,0,0,1,-16,8,24,-16,8,24,0,0,-16,8,24
B,I Bananari,6,2,0,0,6,31,25,6,31,25,0,0,2,15,13
B,Green House,3,1,0,1,10,33,23,10,33,23,0,0,14,21,7
B,Gli scrittori del quartierino,3,1,0,1,-10,23,33,-10,23,33,0,0,-14,7,21
B,the 3 BrOthers,0,0,0,2,-6,25,31,-6,25,31,0,0,-2,13,15
C,Armata Brancaleone,6,2,0,0,15,35,20,14,35,21,0,-1,7,17,10
C,Retroguardia Trash,3,1,0,1,7,31,24,8,32,24,-1,0,-7,10,17
C,Le TreMende,1,0,1,1,-8,24,32,-8,24,32,0,0,0,14,14
C,Living Stones,1,0,1,1,-14,21,35,-14,21,35,0,0,0,14,14
