girone 1
pos,autore,sigla,titolo,penalità,ha votato,voti,
21,Emy,y,La verità del vento,-4,y,-4,
12,Vincenzo Iennaco,e,La fine del mondo,-2,e,-2,
1,Ponghetta84,a,Ciò che io dono,-2,a,-1,l
6,Nuwanda,n,"Ei fu, Venticello",,n,0,
9,M.T.,t,Pensieri col vento,-1,t,0,y
10,Doria,d,Nulla è scritto,,d,0,
11,Giulia Zappalà,z,Estranea,,,0,
14,Lo scrittore incolore,i,Diofettoso,-1,i,0,h
15,Crstina,h,Il tornado passerà,,h,0,
18,Ginevra,g,... e le stelle stanno a guardare,,g,0,
22,Emy,y,Italy agli italiani,,y,0,
27,Lo scrittore incolore,i,#switchoffdeath,,i,0,
31,Cristina,h,Schiavi e schiavisti,-1,h,0,o
23,Bango Skank,b,MI100-2,,b,1,h
2,simone volponi,v,Comunicazione di servizio,,v,2,bp
17,sioux,x,Il vecchio e il cielo,,x,2,il
20,Federico72,f,Il tuffo nel blu,,f,2,ry
28,Joyopi,j,Giochi pericolosi,,j,2,mr
3,Bango Skank,b,MI*100+1,,b,3,jip
19,Lizz,l,La gabbia,,l,3,xka
30,Plata,p,Jeanne,-1,p,3,fvda
25,Vincenzo Iennaco,e,Eravamo in tre,,e,4,iphk
4,Nerio,o,Di nuovo il vento,,o,5,negyl
7,Joyopi,j,La nuvola e il vento,,j,5,sfvne
13,Rica,r,"Scrivi, scrivano",,r,6,jiecdo
8,Kuno,k,Solo il vento,,k,7,smbjiey
29,Lizz,l,L'inferno del sorriso,,l,7,vbjxthc
24,swetty,s,Charlotte,,s,8,mbjeglok
5,JMC,c,Un simpatico salto nel futuro,,c,9,fbjithyla
26,Macleo,m,Arma letale,,m,13,sbxinegrhylcd

girone 2
pos,autore,sigla,titolo,penalità,ha votato,voti,
51,Plata,p,Quant'è vecchio il mondo?,,p,12,fxvcbmjerqid
42,Lizz,l,Linea 69,,l,9,fcmjertyq
53,Eudes,e,Il tuo mondo segreto,,e,8,fvrtlyqk
36,Macleo,m,La morte è pigra,,m,7,xvjetpd
33,Poldo,q,Un briciolo di vita,,q,6,fvbmjt
38,Bango Skank,b,Chiudi gli occhi e aspetti lo schianto,,b,6,fvtysd
40,Rica,r,Ti ho mandato via senza seguirti,,r,5,ctlyi
35,Kuno,k,Il biondo la rossa il prato i crateri,,k,5,vjlsi
55,Joyopi,j,Notte al termine del viaggio,,j,5,bpksi
45,Federico72,f,Eleno futuro re di Troia,,f,3,xji
44,Emy,y,Una folle e il Destino,,y,2,li
41,sioux,x,Nato per soffrire,,x,2,fl
49,swetty,s,Forse era giorno,,s,2,yk
48,simone volponi,v,"Il maniaco colpisce, Roma si caga sotto, la supplente spara",,v,1,y
54,Lizz,l,In fuga dalle sanguisughe,,l,1,p
32,camparino,c,Incontri molto occasionali,,c,1,l
52,Emy,y,L'elisir dell'eterna giovinezza,,y,0,
37,simone volponi,v,Il feretro di Svartsyu,,v,0,
39,M.T.,t,Destino? No (e senza il grazie),,t,0,
46,M.T.,t,Senza scampo,,t,0,
43,Joyopi,j,È così che uccido io,,j,0,
34,Lo scrittore incolore,i,Questione di stile,,i,0,
47,Lo scrittore incolore,i,Se me ne vado,,i,0,
56,Federico72,f,"Da sola, nel buio",,f,0,
50,Doria,d,Verrà un angelo,,d,0,

girone 3
pos,autore,sigla,titolo,penalità,ha votato,voti,
57,camparino,c,Specchio delle mie brame,,c,2,ft
58,Bango Skank,b,Uno specchio come me,,b,2,tl
59,Federico72,f,Vita lacustre,,f,0,
60,acronimo4,a,Guardiaspalle,,a,1,v
61,M.T.,t,Sottoterra,,t,0,
62,Cicciuzza,z,Il buio nello specchio,,z,6,yfcevx
63,simone volponi,v,Aliens lacrimarum,,v,0,
64,Intro,r,Aleph 1,,r,2,ax
65,Joyopi,j,La scintilla in fondo al buio,,j,5,wybti
66,wyjkz31,w,Riflesso di vita,,w,10,fcbtjlvpax
67,Nuwanda,n,Bu-io,,n,1,y
68,Lo scrittore incolore,i,Cos'è accaduto allo specchio di Biancaneve,,i,6,wfbnlh
69,Pulsar,p,L'immagine nello specchio,,p,0,
70,Emy,y,I cimeli di famiglia,,y,0,
71,Lizz,l,La bambina nello specchio,,l,2,jv
72,simone volponi,v,Hunger strike – Omaggio a Chris Cornell,,v,4,cnzi
73,M.T.,t,Life is a game,,t,1,i
74,Lo scrittore incolore,i,Il diritto di recesso dura 14 giorni,,i,6,jelvhz
75,massimopud,x,Riceviamo e volentieri pubblichiamo,,x,3,nri
76,Emy,y,Il lupo perde il pelo ma non il vizio,,y,4,fmtp
77,Federico72,f,Lo strano caso del suicidio di Topolino,,f,4,jlhi
78,Vincenzo Iennaco,e,A vita s'adda piglià comm vene!,,e,1,i
79,Lizz,l,"Sopra la panca il mostro campa, sotto la panca il bambino crepa",,l,1,y
80,Macleo,m,Ipnosi profonda,,m,4,yjar
81,Joyopi,j,Open Eyes,,j,3,mlp
82,Cristina,h,Il filmato – Un mare di libertà,,h,10,ywfmtjevzr

girone 4
pos,autore,sigla,titolo,penalità,ha votato,voti,
83,Bango Skank,b,Un viaggiatore del tempo,,b,12,yfmltvchjdsi
88,Marcello,c,I custodi della biblioteca,,c,9,byfmtrdsi
89,Macleo,m,Maledetto Concorde,,m,7,flxvcji
97,Lizz,l,A bocca aperta,,l,7,byfxtra
100,Lo scrittore incolore,i,Tutta colpa di Edoardo Fiandre,,i,5,byfas
85,Joyopi,j,La magia stava nel fuoco,,j,4,ylxv
87,Rica,r,La mia biblioteca di Alessandria,,r,4,mltj
