pos,autore,sigla,titolo,penalità,ha votato,voti,v1
83,Bango Skank,b,Un viaggiatore del tempo,,b,12,yfmltvchjdsi
88,Marcello,c,I custodi della biblioteca,,c,9,byfmtrdsi
89,Macleo,m,Maledetto Concorde,,m,7,flxvcji
97,Lizz,l,A bocca aperta,,l,7,byfxtra
100,Lo scrittore incolore,i,Tutta colpa di Edoardo Fiandre,,i,5,byfas
85,Joyopi,j,La magia stava nel fuoco,,j,4,ylxv
87,Rica,r,La mia biblioteca di Alessandria,,r,4,mltj
105,Lizz,l,Lo vuoi sapere il mio segreto?,,l,4,mhji
86,M.T.,t,Il futuro nel passato e il passato nel futuro,,t,3,lrv
92,Thea,h,Nessuna risposta,-1,h,3,mtji
94,sioux,x,Il cimitero dei libri che verranno ricordati,,x,3,mdi
84,Federico72,f,Dogma dell'inutilità dei viaggi nel tempo,,f,2,lv
95,sefora,e,Nazionale Centrale,,s,2,fc
101,simone volponi,v,Gli Hammersmith,,v,2,aj
90,Lo scrittore incolore,i,Il tempo degli uomini col casco nero,,i,1,h
96,Emy,y,Il libro della mia vita,,y,1,t
99,M.T.,t,Si può essere più sfigati di così?,,t,1,y
91,simone volponi,v,Passato nel futuro,,v,0,
93,Doria,d,Tragedia temporale,,d,0,
102,Federico72,f,Il colloquio,,f,0,
103,Joyopi,j,La casa accanto,,j,0,
104,Macleo,m,"Prendi questa mano, zingara",,m,0,
106,Emy,y,Una giornata straordinaria per una ragazza ordinaria,,y,0,
98,acronimo4,a,Cioccolato che passione,-2,a,-1,v
