giocatore,squadra,elo
Ella F.,Armata Brancaleone,1562
Kuno,D Euforiche,1557
Plata,Green House,1544
ITG,the 3 BrOthers,1542
Joyopi,Green House,1532
Bango Skank,Green House,1531
Niko,I Bananari,1530
crazycat,Gli ultimi,1530
Ljuset,Living Stones,1527
Eudes,Retroguardia Trash,1518
Thea,Le TreMende,1517
queffe,D Euforiche,1515
Marcello,D Euforiche,1506
Steto,Gli ultimi,1506
Vincenzo Iennaco,Living Stones,1505
Ghigo,Gli ultimi,1500
camparino,Gli scrittori del quartierino,1500
massimopud,I Bananari,1495
Komorebi,La threesome,1494
sefora,Le TreMende,1494
Andrea28,Retroguardia Trash,1494
simone volponi,I Bananari,1491
Macleo,Living Stones,1491
caipiroska,Gli ultimi,1489
Federico72,Gli scrittori del quartierino,1488
mina99,La threesome,1479
AdStr,Armata Brancaleone,1477
Patrick D'anello,the 3 BrOthers,1476
Skorpiòs,Armata Brancaleone,1475
AlexComan,Retroguardia Trash,1470
Emy,Le TreMende,1470
ettore70,the 3 BrOthers,1461
Luna,La threesome,1460
Marty12,Gli scrittori del quartierino,1451
AryaSophia,the 3 BrOthers,1450
