giocatore,squadra,girone,avversario,goal fatti,goal subiti,elo precedente,elo avversario,punteggio atteso,punteggio reale,scostamento,scostamento squadra,elo nuovo
AdStr,Armata Brancaleone,C,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.1428571428571429,1504
AlexComan,Retroguardia Trash,C,Vincenzo Iennaco,10,4,1500,1500,0.5,0.7142857142857143,0.2142857142857143,0.25,1522
Andrea28,Retroguardia Trash,C,Macleo,11,3,1500,1500,0.5,0.7857142857142857,0.2857142857142857,0.25,1526
AryaSophia,the 3 BrOthers,B,Federico72,0,14,1500,1500,0.5,0.0,-0.5,-0.07142857142857145,1465
Bango Skank,Green House,B,massimopud,7,7,1500,1500,0.5,0.5,0.0,-0.07142857142857145,1498
Ella F.,Armata Brancaleone,C,Emy,14,0,1500,1500,0.5,1.0,0.5,0.1428571428571429,1537
Emy,Le TreMende,C,Ella F.,0,14,1500,1500,0.5,0.0,-0.5,-0.14285714285714285,1463
Eudes,Retroguardia Trash,C,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.25,1507
Federico72,Gli scrittori del quartierino,B,AryaSophia,14,0,1500,1500,0.5,1.0,0.5,0.0714285714285714,1535
Ghigo,Gli ultimi,A,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.0,1500
ITG,the 3 BrOthers,B,Marty12,12,2,1500,1500,0.5,0.8571428571428571,0.3571428571428571,-0.07142857142857145,1522
Joyopi,Green House,B,simone volponi,5,9,1500,1500,0.5,0.35714285714285715,-0.14285714285714285,-0.07142857142857145,1488
Komorebi,La threesome,A,Marcello,8,8,1500,1500,0.5,0.5,0.0,-0.15625,1495
Kuno,D Euforiche,A,Luna,13,3,1500,1500,0.5,0.8125,0.3125,0.15625,1525
Ljuset,Living Stones,C,(non giocato),0,0,1500,1500,0.5,0.5,0.0,-0.25,1493
Luna,La threesome,A,Kuno,3,13,1500,1500,0.5,0.1875,-0.3125,-0.15625,1475
Macleo,Living Stones,C,Andrea28,3,11,1500,1500,0.5,0.21428571428571427,-0.2857142857142857,-0.25,1474
Marcello,D Euforiche,A,Komorebi,8,8,1500,1500,0.5,0.5,0.0,0.15625,1505
Marty12,Gli scrittori del quartierino,B,ITG,2,12,1500,1500,0.5,0.14285714285714285,-0.35714285714285715,0.0714285714285714,1478
Niko,I Bananari,B,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.0714285714285714,1502
Plata,Green House,B,(non giocato),0,0,1500,1500,0.5,0.5,0.0,-0.07142857142857145,1498
Skorpiòs,Armata Brancaleone,C,sefora,4,10,1500,1500,0.5,0.2857142857142857,-0.2142857142857143,0.1428571428571429,1490
Thea,Le TreMende,C,(non giocato),0,0,1500,1500,0.5,0.5,0.0,-0.14285714285714285,1496
Vincenzo Iennaco,Living Stones,C,AlexComan,4,10,1500,1500,0.5,0.2857142857142857,-0.2142857142857143,-0.25,1478
caipiroska,Gli ultimi,A,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.0,1500
camparino,Gli scrittori del quartierino,B,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.0714285714285714,1502
crazycat,Gli ultimi,A,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.0,1500
ettore70,the 3 BrOthers,B,(non giocato),0,0,1500,1500,0.5,0.5,0.0,-0.07142857142857145,1498
massimopud,I Bananari,B,Bango Skank,7,7,1500,1500,0.5,0.5,0.0,0.0714285714285714,1502
mina99,La threesome,A,(non giocato),0,0,1500,1500,0.5,0.5,0.0,-0.15625,1495
queffe,D Euforiche,A,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.15625,1505
sefora,Le TreMende,C,Skorpiòs,10,4,1500,1500,0.5,0.7142857142857143,0.2142857142857143,-0.14285714285714285,1510
simone volponi,I Bananari,B,Joyopi,9,5,1500,1500,0.5,0.6428571428571429,0.1428571428571429,0.0714285714285714,1512
