giocatore,squadra,partita,avversario,goal fatti,goal subiti,elo precedente,elo avversario,punteggio atteso,punteggio reale,scostamento,scostamento squadra,elo nuovo
AdStr,Armata Brancaleone,non qualificate,(non giocato),0,0,1483,1500,0.5,0.5,0.0,0.0,1483
AlexComan,Retroguardia Trash,non qualificate,(non giocato),0,0,1470,1500,0.5,0.5,0.0,0.0,1470
Andrea28,Retroguardia Trash,non qualificate,(non giocato),0,0,1494,1500,0.5,0.5,0.0,0.0,1494
AryaSophia,the 3 BrOthers,non qualificate,(non giocato),0,0,1450,1500,0.5,0.5,0.0,0.0,1450
Bango Skank,Green House,S2,Ghigo,10,4,1533,1548,0.47842666694885455,0.7142857142857143,0.23585904733685975,0.14683368581971645,1569
Ella F.,Armata Brancaleone,non qualificate,(non giocato),0,0,1514,1500,0.5,0.5,0.0,0.0,1514
Emy,Le TreMende,non qualificate,(non giocato),0,0,1450,1500,0.5,0.5,0.0,0.0,1450
Eudes,Retroguardia Trash,non qualificate,(non giocato),0,0,1518,1500,0.5,0.5,0.0,0.0,1518
Federico72,Gli scrittori del quartierino,non qualificate,(non giocato),0,0,1486,1500,0.5,0.5,0.0,0.0,1486
Ghigo,Gli ultimi,S2,Bango Skank,4,10,1548,1533,0.5215733330511455,0.2857142857142857,-0.2358590473368598,-0.14683368581971645,1512
ITG,the 3 BrOthers,non qualificate,(non giocato),0,0,1542,1500,0.5,0.5,0.0,0.0,1542
Joyopi,Green House,S2,crazycat,9,5,1531,1535,0.49424379158885506,0.6428571428571429,0.14861335126828784,0.14683368581971645,1555
Komorebi,La threesome,non qualificate,(non giocato),0,0,1494,1500,0.5,0.5,0.0,0.0,1494
Kuno,D Euforiche,S1,simone volponi,11,3,1543,1533,0.5143871841659987,0.7857142857142857,0.271327101548287,0.2775600198838005,1588
Ljuset,Living Stones,non qualificate,(non giocato),0,0,1511,1500,0.5,0.5,0.0,0.0,1511
Luna,La threesome,non qualificate,(non giocato),0,0,1460,1500,0.5,0.5,0.0,0.0,1460
Macleo,Living Stones,non qualificate,(non giocato),0,0,1489,1500,0.5,0.5,0.0,0.0,1489
Marcello,D Euforiche,S1,massimopud,11,3,1508,1503,0.5071950817090514,0.7857142857142857,0.27851920400523433,0.2775600198838005,1554
Marty12,Gli scrittori del quartierino,non qualificate,(non giocato),0,0,1450,1500,0.5,0.5,0.0,0.0,1450
Niko,I Bananari,S1,(non giocato),0,0,1540,1500,0.5,0.5,0.0,-0.2775600198838005,1531
Patrick D'anello,the 3 BrOthers,non qualificate,(non giocato),0,0,1476,1500,0.5,0.5,0.0,0.0,1476
Plata,Green House,S2,(non giocato),0,0,1560,1500,0.5,0.5,0.0,0.14683368581971645,1565
Skorpiòs,Armata Brancaleone,non qualificate,(non giocato),0,0,1470,1500,0.5,0.5,0.0,0.0,1470
Steto,Gli ultimi,S2,(non giocato),0,0,1511,1500,0.5,0.5,0.0,-0.14683368581971645,1506
Thea,Le TreMende,non qualificate,(non giocato),0,0,1509,1500,0.5,0.5,0.0,0.0,1509
Vincenzo Iennaco,Living Stones,non qualificate,(non giocato),0,0,1506,1500,0.5,0.5,0.0,0.0,1506
caipiroska,Gli ultimi,S2,(non giocato),0,0,1483,1500,0.5,0.5,0.0,-0.14683368581971645,1478
camparino,Gli scrittori del quartierino,non qualificate,(non giocato),0,0,1514,1500,0.5,0.5,0.0,0.0,1514
crazycat,Gli ultimi,S2,Joyopi,5,9,1535,1531,0.5057562084111449,0.35714285714285715,-0.14861335126828773,-0.14683368581971645,1511
ettore70,the 3 BrOthers,non qualificate,(non giocato),0,0,1461,1500,0.5,0.5,0.0,0.0,1461
massimopud,I Bananari,S1,Marcello,3,11,1503,1508,0.49280491829094863,0.21428571428571427,-0.27851920400523433,-0.2775600198838005,1457
mina99,La threesome,non qualificate,(non giocato),0,0,1479,1500,0.5,0.5,0.0,0.0,1479
queffe,D Euforiche,S1,(non giocato),0,0,1542,1500,0.5,0.5,0.0,0.2775600198838005,1551
sefora,Le TreMende,non qualificate,(non giocato),0,0,1484,1500,0.5,0.5,0.0,0.0,1484
simone volponi,I Bananari,S1,Kuno,3,11,1533,1543,0.48561281583400134,0.21428571428571427,-0.2713271015482871,-0.2775600198838005,1488
