,squadra,goal fatti,goal subiti,elo precedente,elo avversario,punteggio atteso,punteggio reale,scostamento squadra,girone
0,D Euforiche,21.0,11.0,1500.0,1500.0,0.5,0.65625,0.15625,A
2,Gli ultimi,0.0,0.0,1500.0,1500.0,0.5,0.5,0.0,A
3,La threesome,11.0,21.0,1500.0,1500.0,0.5,0.34375,-0.15625,A
5,Gli scrittori del quartierino,16.0,12.0,1500.0,1500.0,0.5,0.5714285714285714,0.0714285714285714,B
7,I Bananari,16.0,12.0,1500.0,1500.0,0.5,0.5714285714285714,0.0714285714285714,B
9,Green House,12.0,16.0,1500.0,1500.0,0.5,0.42857142857142855,-0.07142857142857145,B
11,the 3 BrOthers,12.0,16.0,1500.0,1500.0,0.5,0.42857142857142855,-0.07142857142857145,B
13,Retroguardia Trash,21.0,7.0,1500.0,1500.0,0.5,0.75,0.25,C
15,Armata Brancaleone,18.0,10.0,1500.0,1500.0,0.5,0.6428571428571429,0.1428571428571429,C
17,Le TreMende,10.0,18.0,1500.0,1500.0,0.5,0.35714285714285715,-0.14285714285714285,C
19,Living Stones,7.0,21.0,1500.0,1500.0,0.5,0.25,-0.25,C
