squadra,avversario,elo avversario,elo precedente,goal fatti,goal subiti,partita,punteggio atteso,punteggio reale,scostamento squadra
D Euforiche,I Bananari,1525.3333333333333,1531.0,22,6,S1,0.5081542658304852,0.7857142857142857,0.2775600198838005
Green House,Gli ultimi,1519.25,1541.3333333333333,19,9,S2,0.5317377427517122,0.6785714285714286,0.14683368581971645
I Bananari,D Euforiche,1531.0,1525.3333333333333,6,22,S1,0.49184573416951477,0.21428571428571427,-0.2775600198838005
Gli ultimi,Green House,1541.3333333333333,1519.25,9,19,S2,0.4682622572482879,0.32142857142857145,-0.14683368581971645
Armata Brancaleone,-,1489.0,1489.0,0,0,non qualificate,0.5,0.5,0.0
Gli scrittori del quartierino,-,1483.3333333333333,1483.3333333333333,0,0,non qualificate,0.5,0.5,0.0
La threesome,-,1477.6666666666667,1477.6666666666667,0,0,non qualificate,0.5,0.5,0.0
Le TreMende,-,1481.0,1481.0,0,0,non qualificate,0.5,0.5,0.0
Living Stones,-,1502.0,1502.0,0,0,non qualificate,0.5,0.5,0.0
Retroguardia Trash,-,1494.0,1494.0,0,0,non qualificate,0.5,0.5,0.0
the 3 BrOthers,-,1482.25,1482.25,0,0,non qualificate,0.5,0.5,0.0
