squadra,giocatore,totale,num_gare,media,rank 0
Green House,Bango Skank,21.5,12,1.7916666666666667,1534
Green House,Joyopi,7.0,15,0.4666666666666667,1478
Green House,Plata,6.0,11,0.5454545454545454,1483
La threesome,Komorebi,4.0,8,0.5,1480
La threesome,Luna,0.0,0,0.0,1450
La threesome,mina99,5.83,7,0.8328571428571429,1498
I Bananari,Niko,0.0,0,0.0,1450
I Bananari,simone volponi,12.0,19,0.631578947368421,1488
I Bananari,massimopud,5.0,2,2.5,1554
Armata Brancaleone,Ella F.,0.0,0,0.0,1450
Armata Brancaleone,AdStr,0.0,0,0.0,1450
Armata Brancaleone,Skorpiòs,0.0,0,0.0,1450
Living Stones,Macleo,30.33,19,1.5963157894736841,1528
Living Stones,Vincenzo Iennaco,9.33,18,0.5183333333333333,1481
Living Stones,Ljuset,0.0,0,0.0,1450
Retroguardia Trash,Eudes,2.0,1,2.0,1541
Retroguardia Trash,AlexComan,0.0,0,0.0,1450
Retroguardia Trash,Andrea28,10.0,5,2.0,1541
Le TreMende,Emy,4.0,19,0.21052631578947367,1462
Le TreMende,sefora,0.0,0,0.0,1450
Le TreMende,Thea,0.5,5,0.1,1453
Gli scrittori del quartierino,camparino,1.0,10,0.1,1453
Gli scrittori del quartierino,Federico72,0.0,0,0.0,1450
Gli scrittori del quartierino,Marty12,0.33,4,0.0825,1452
the 3 BrOthers,AryaSophia,0.0,0,0.0,1450
the 3 BrOthers,ettore70,0.0,0,0.0,1450
the 3 BrOthers,ITG,1.0,1,1.0,1505
D Euforiche,queffe,5.0,1,5.0,1601
D Euforiche,Marcello,10.0,5,2.0,1541
D Euforiche,Kuno,5.5,3,1.8333333333333333,1536
Gli ultimi,caipiroska ,0.0,0,0.0,1450
Gli ultimi,crazycat,0.0,0,0.0,1450
Gli ultimi,Ghigo,5.0,4,1.25,1516
