autore,sigla,titolo,caratteri,verifiche nel racconto,r1,r2,r3,r4,verifiche nel topic principale,t1,t2,penalità,ha votato,voti,v1
M.T.,t,Mostri,7917,X,x,x,x,x,x,13,15,0,t,0,
AryaSophia,a,C'era una volta...,7647,X,x,x,x,x,x,13,1,0,a,0,
Rica,r,Passaggio per due solo andata,6821,X,x,x,x,x,x,10,5,0,r,9,mvaflyijp
Vincenzo Iennaco,v,Pangea Reloaded,6094,X,x,x,x,x,x,8,6,0,v,1,y
Macleo,m,Fritto mistico,7999,X,x,x,x,x,x,1,15,0,m,5,vdawn
Lo scrittore incolore,i,Amore precotto ,7848,X,X,X,X,x,X,10,10,0,i,5,twrep
Federico72,f,La pulizia,6763,X,X,X,X,x,X,18,15,0,f,0,
Terracielo,t,Sopravvivenza,4969,X,X,X,X,,X,2,13,-3,,-3,
Andrea28,d,Il giorno della pensione,7986,X,X,X,X,x,X,15,20,0,d,0,
serena.jandra,n,Principessa fai da te,7990,X,X,X,X,x,X,13,2,0,n,0,
massimopud,p,Il messaggero di Ptah,7996,X,X,X,X,x,X,4,7,0,p,10,mvdgwreijn
Emy,e,Blackout,7209,X,X,X,X,,X,16,13,-1,e,3,tglp
Ginevra,g,De Luigi Giuseppe,7636,X,X,x,x,x,X,10,7,0,g,0,
simone volponi,w,Nodki,7984,X,X,X,X,x,X,18,6,0,w,1,r
Luna,l,Magazzino 760,7666,X,X,x,x,x,X,15,16,0,l,2,gf
mina99,y,Who cares if one more light...,7912,X,X,x,x,x,X,10,7,0,y,9,mtdaflejn
Joyopi,j,L'essere,7959,X,x,x,x,x,x,11,6,0,j,2,yi
