squadra,riposa,capitano,riserva,titolare 1,titolare 2
Green House,,Bango Skank,Plata,Bango Skank,Joyopi
La threesome,,mina99,mina99,Komorebi,Luna
I Bananari,,simone volponi,Niko,simone volponi,massimopud
Armata Brancaleone,,Ella F.,AdStr,Ella F.,Skorpiòs
Living Stones,,Macleo,Ljuset,Macleo,Vincenzo Iennaco
Retroguardia Trash,,Andrea28,Eudes,Andrea28,AlexComan
Le TreMende,,Emy,Thea,Emy,sefora
Gli scrittori del quartierino,,Marty12,camparino,Marty12,Federico72
the 3 BrOthers,,AryaSophia,ettore70,AryaSophia,ITG
D Euforiche,,Kuno,queffe,Kuno,Marcello
Gli ultimi,(riposa),crazycat,,,
