girone,partita,squadra,capitano,riserva,match 1,match 2,match 1 goal,match 1 riserva,match 2 goal,match 2 riserva,goal,penalità
A,1,D Euforiche,Kuno,Kuno,queffe,Marcello,4,True,9,False,13,-2
A,1,La threesome,Luna,mina99,Komorebi,Luna,12,True,3,False,15,-2
B,1,Green House,Plata,Joyopi,Bango Skank,Plata,8,True,10,False,18,0
B,1,I Bananari,simone volponi,simone volponi,massimopud,Niko,5,False,3,True,8,-2
B,2,Gli scrittori del quartierino,Federico72,camparino,Marty12,Federico72,12,False,5,False,17,0
B,2,the 3 BrOthers,ettore70,ettore70,ITG,AryaSophia,2,True,9,False,11,0
C,1,Living Stones,Vincenzo Iennaco,Macleo,Vincenzo Iennaco,Ljuset,10,True,8,False,18,-1
C,1,Retroguardia Trash,Eudes,AlexComan,Andrea28,Eudes,2,False,6,True,8,-1
C,2,Le TreMende,Thea,Thea,Emy,sefora,7,False,6,True,13,0
C,2,Armata Brancaleone,Ella F.,AdStr,Ella F.,Skorpiòs,7,False,8,False,15,0
