utente,mi2017,fdi2017_1,fdi2017_2,fdi2017_3,mi100_1,mi100_2,mi100_3,mi100_4,totale
Andrea28,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Bango Skank,16.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.5
Befana Profana,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33
Cicciuzza,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Crazycat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cristina,3.33,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.33
Edison,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66
Emy,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Eudes,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Ghigo,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Ginevra,3.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,5.5
ITG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Intro,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
JMC,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
Joyopi,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0
Komorebi,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Kuno,5.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.5
Lizz,3.0,0.0,0.0,0.0,0.5,3.0,0.0,1.5,8.0
Lo scrittore incolore,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,2.5
M.T.,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66
Macleo,18.33,4.0,0.5,0.0,5.0,1.0,0.0,1.5,30.33
Marcello,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
Marty12,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
Mundi Viator,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Nanni,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Nerio,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Plata,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0
Poldo,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Rewind,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
Rica,15.0,1.5,2.5,0.0,0.0,0.0,0.0,0.0,19.0
Riddle Seeker,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Thea,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Unius,14.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.66
Vincenzo Iennaco,4.33,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.33
camparino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
libero_s,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
massimopud,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
mina99,3.33,0.0,2.5,0.0,0.0,0.0,0.0,0.0,5.83
queffe,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
simone volponi,5.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0
swetty,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.5
wyjkz31,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
