utente,mi2017,fdi2017_1,fdi2017_2,fdi2017_3,mi100_1,mi100_2,mi100_3,mi100_4,totale,num_gare
Andrea28,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5
Bango Skank,16.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.5,12
Befana Profana,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1
Cicciuzza,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
Crazycat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
Cristina,3.33,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.33,5
Edison,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66,2
Emy,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19
Eudes,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1
Ghigo,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4
Ginevra,3.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,5.5,7
ITG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Intro,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2
JMC,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1
Joyopi,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,15
Komorebi,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8
Kuno,5.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.5,3
Lizz,3.0,0.0,0.0,0.0,0.5,3.0,0.0,1.5,8.0,11
Lo scrittore incolore,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,2.5,9
M.T.,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,16
Macleo,18.33,4.0,0.5,0.0,5.0,1.0,0.0,1.5,30.33,19
Marcello,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5
Marty12,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,4
Mundi Viator,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1
Nanni,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3
Nerio,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2
Plata,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,11
Poldo,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5
Rewind,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1
Rica,15.0,1.5,2.5,0.0,0.0,0.0,0.0,0.0,19.0,15
Riddle Seeker,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5
Thea,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5
Unius,14.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.66,11
Vincenzo Iennaco,4.33,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.33,18
camparino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10
libero_s,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1
massimopud,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2
mina99,3.33,0.0,2.5,0.0,0.0,0.0,0.0,0.0,5.83,7
queffe,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1
simone volponi,5.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,19
swetty,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.5,3
wyjkz31,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1
