,base,base,verifiche,verifiche,verifiche,verifiche,verifiche,verifiche,A,A,A,B,B,B,B,C,C,C,C,base
,ingresso riserva,titolo,lunghezza,tag,link,link commento,commento valido,penalità,D Euforiche,La threesome,Gli ultimi,Green House,I Bananari,Gli scrittori del quartierino,the 3 BrOthers,Living Stones,Retroguardia Trash,Le TreMende,Armata Brancaleone,goal giocatore
titolare,,,,,,,,,,,,,,,,,,,,
Marcello,,In attesa,5820,x,x,x,x,0,0,0,0,0,2,1,1,2,1,1,0,8
Kuno,,Vergogna. Scuse. Catapulta.,7988,x,x,x,x,0,0,0,0,2,2,2,2,2,1,2,0,13
Komorebi,,Assalto alla fortezza,7149,x,x,x,x,0,0,0,0,2,0,1,1,0,1,1,2,8
Luna,,I macellai di erbafiore,7947,x,x,x,x,0,0,0,0,0,0,0,0,0,1,0,2,3
Bango Skank,,La Catapulta dei Cavalieri del Leone,7922,x,x,x,x,0,0,2,1,0,0,0,0,0,1,1,2,7
Joyopi,,Dino Saurini e le care buon vecchie amicizie,7903,x,x,x,x,0,1,2,0,0,0,0,0,0,0,2,0,5
massimopud,,La grande catapulta,6084,x,x,x,x,0,2,0,1,0,0,0,0,2,1,1,0,7
simone volponi,,Un bel tiro,5914,x,x,x,x,0,1,0,2,0,0,0,0,2,2,0,2,9
Marty12,,La catapulta delle anime,7464,x,x,x,x,0,0,0,1,0,0,0,0,0,1,0,0,2
Federico72,,Kaiten - Catapultati in braccio alla morte,5344,x,x,x,x,0,2,2,2,0,0,0,0,2,2,2,2,14
ITG,,Lui beve per... ricordare,5416,x,x,x,x,0,2,2,1,0,0,0,0,2,1,2,2,12
AryaSophia,,"Areth, la prescelta",5061,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0
Macleo,,Manna dal cielo,7944,x,x,x,x,0,2,0,0,0,1,0,0,0,0,0,0,3
Vincenzo Iennaco,,Sotto assedio ,7608,x,x,x,x,0,1,1,0,0,1,0,1,0,0,0,0,4
Andrea28,,Catapulta leggendaria,7999,x,x,x,x,0,0,2,2,2,1,2,2,0,0,0,0,11
AlexComan,,Il sogno di ogni gallina,7216,x,x,x,x,0,1,1,2,2,1,2,1,0,0,0,0,10
Emy,,La notte delle teste cadenti,7909,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0
sefora,,È quasi Natale,7861,x,x,x,x,0,1,2,2,2,1,1,1,0,0,0,0,10
Ella F.,,Katapulta,6934,x,x,x,x,0,2,2,2,2,2,2,2,0,0,0,0,14
Skorpiòs,,Il maniero,6888,x,x,x,x,0,1,0,0,0,1,1,1,0,0,0,0,4
