,base,base,verifiche,verifiche,verifiche,verifiche,verifiche,verifiche,Q1,Q1,Q2,Q2,Q3,Q3,Q4,Q4,non qualificate,non qualificate,non qualificate,base
,ingresso riserva,titolo,lunghezza,tag,link,link commento,commento valido,penalità,D Euforiche,Gli scrittori del quartierino,I Bananari,Le TreMende,Green House,Living Stones,Armata Brancaleone,Gli ultimi,La threesome,Retroguardia Trash,the 3 BrOthers,goal giocatore
titolare,,,,,,,,,,,,,,,,,,,,
Kuno,,Il meglio che sa fare un pesce,7733,x,x,x,x,0,0,0,0,1,0,0,2,2,0,0,0,5
queffe,,Il presente di Brando,6695,x,x,x,x,0,0,0,2,2,2,2,2,2,0,1,0,13
camparino,,Il negozio di acquari,3216,x,x,x,x,0,0,0,2,1,2,2,0,0,0,2,0,9
Marty12,,Pensavo fosse amore e invece era un dugongo,6895,x,x,x,x,0,0,0,0,0,0,0,0,0,0,1,0,1
Niko,,"Non c’è nessun vetro, tra noi",7999,x,x,x,x,0,1,2,0,0,1,0,2,2,0,0,0,8
simone volponi,,WaterEnd,7995,x,x,x,x,0,2,2,0,0,2,2,2,2,0,2,0,14
sefora,,Le sette dell’acquario,7694,x,x,x,x,0,1,0,0,0,1,2,0,0,0,2,0,6
Emy,,Una festa a sorpresa,7597,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0
Plata,,L'acquario vuoto,6495,x,x,x,x,0,2,1,1,2,0,0,2,1,0,1,0,10
Joyopi,,Quanta magia,6596,x,x,x,x,0,0,1,2,0,0,0,2,2,0,0,0,7
Ljuset,,Elenoir,7995,x,x,x,x,0,0,1,1,0,0,0,0,1,0,1,0,4
Vincenzo Iennaco,,Looking through the window,5881,x,x,x,x,0,2,1,0,2,0,0,0,0,0,2,0,7
Ella F.,,Pesci in un acquario,4304,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0
AdStr,,Sgradevole,6703,x,x,x,x,0,1,1,2,2,2,0,0,0,0,1,0,9
Ghigo,,Quel giorno in cui mio padre comprò l’acquario,7902,x,x,x,x,0,2,2,2,2,2,2,0,0,0,2,0,14
caipiroska,,Cuore di mamma,6173,x,x,x,x,0,1,1,0,0,0,2,0,0,0,1,0,5
