,base,base,verifiche,verifiche,verifiche,verifiche,verifiche,verifiche,S1,S1,S2,S2,non qualificate,non qualificate,non qualificate,non qualificate,non qualificate,non qualificate,non qualificate,base
,ingresso riserva,titolo,lunghezza,tag,link,link commento,commento valido,penalità,D Euforiche,I Bananari,Green House,Gli ultimi,La threesome,Armata Brancaleone,Living Stones,Retroguardia Trash,Le TreMende,Gli scrittori del quartierino,the 3 BrOthers,goal giocatore
titolare,,,,,,,,,,,,,,,,,,,,
Kuno,,Ho sempre amato l'Irlanda,7999,x,x,x,x,0,0,0,1,2,0,2,2,2,1,1,0,11
Marcello,,Ottobre alentejano,7919,x,x,x,x,0,0,0,1,2,0,2,1,1,2,2,0,11
simone volponi,,Due pianeti color nocciola,6863,x,x,x,x,0,0,0,1,0,0,0,0,0,1,1,0,3
massimopud,,Croce del Sud,7744,x,x,x,x,0,0,0,1,0,0,0,1,1,0,0,0,3
Bango Skank,,Il sapore delle lacrime,7641,x,x,x,x,0,2,0,0,0,0,1,2,2,1,2,0,10
Joyopi,,Se Dio finisse l'acqua,7813,x,x,x,x,0,1,2,0,0,0,0,1,1,2,2,0,9
Ghigo,,Io so far piovere,7756,x,x,x,x,0,0,2,0,0,0,1,0,0,1,0,0,4
crazycat,,Terra arida,7256,x,x,x,x,0,1,0,0,0,0,2,1,1,0,0,0,5
