,base,base,verifiche,verifiche,verifiche,verifiche,verifiche,verifiche,F1,F1,F2,F2,non qualificate,non qualificate,non qualificate,non qualificate,non qualificate,non qualificate,non qualificate,base
,ingresso riserva,titolo,lunghezza,tag,link,link commento,commento valido,penalità,D Euforiche,Green House,I Bananari,Gli ultimi,La threesome,Armata Brancaleone,Living Stones,Retroguardia Trash,Le TreMende,Gli scrittori del quartierino,the 3 BrOthers,goal giocatore
titolare,,,,,,,,,,,,,,,,,,,,
Kuno,2018-01-14 22.00,Punto di fuga,7902,x,x,x,x,0,0,0,0,0,0,0,2,1,1,0,0,4
Marcello,,E profesor,7900,x,x,x,x,0,0,0,1,1,0,1,2,2,1,0,0,8
Bango Skank,,"Perché piangi, mamma?",7798,x,x,x,x,0,0,0,2,2,0,2,0,1,1,0,0,8
Plata,,Il fiore più bello,5507,x,x,x,x,0,0,0,1,1,0,1,0,0,1,0,0,4
simone volponi,,Jones sogna topi alieni,7998,x,x,x,x,0,1,0,0,0,0,0,1,1,0,0,0,3
massimopud,,Vita da demiurghi,6776,x,x,x,x,0,1,2,0,0,0,1,0,0,2,0,0,6
Ghigo,,Pomeriggio al parco in prospettiva,7915,x,x,x,x,0,1,2,0,0,0,2,1,1,2,0,0,9
caipiroska,,In Bilico,7900,x,x,x,,-1,1,0,0,0,0,1,2,2,0,0,0,5
